id,nome,data,tasso
MII181661,Trieste,2024-10-06,167.8082
MII181681,Turi,2024-10-06,139.8148
MII181672,Udine,2024-10-06,187.3684
MII181691,Vallo della Lucania,2024-10-06,142.5000
MII181703,Varese,2024-10-06,188.6792
MII181820,Vasto,2024-10-06,63.2653
MII181839,Velletri,2024-10-06,133.6788
MII181847,Venezia Giudecca,2024-10-06,83.0357
MII181863,Venezia Santa Maria Maggiore,2024-10-06,162.8931
MII181870,Verbania,2024-10-06,156.6038
MII181880,Vercelli,2024-10-06,156.3218
MII181891,Verona,2024-10-06,186.4780
MII181908,Vibo Valentia,2024-10-06,103.4574
MII181918,Vicenza,2024-10-06,147.3469
MII181924,Vigevano,2024-10-06,166.0550
MII181934,Viterbo,2024-10-06,171.3580
MII179733,Voghera,2024-10-06,103.8123
MII179876,Volterra,2024-10-06,95.7672
MII158910,Agrigento,2024-10-13,139.4265
MII157783,Alba,2024-10-13,83.6735
MII158919,"Alessandria Cantiello, Gaeta",2024-10-13,96.6667
MII158924,Alessandria San Michele,2024-10-13,137.8788
MII158935,Alghero,2024-10-13,55.1282
MII172277,Altamura,2024-10-13,156.8627
MII158944,Ancona Barcaglione,2024-10-13,101.0000
MII158941,Ancona Montacuto,2024-10-13,129.2969
MII158945,Arbus,2024-10-13,72.2222
MII158948,Arezzo,2024-10-13,158.3333
MII159053,Ariano Irpino,2024-10-13,120.1550
MII159060,Arienzo,2024-10-13,168.9655
MII159065,Ascoli Piceno,2024-10-13,124.2424
MII159069,Asti,2024-10-13,127.4510
MII159314,Augusta,2024-10-13,159.9415
MII172011,Avellino,2024-10-13,123.0616
MII172187,Aversa,2024-10-13,110.0877
MII182440,Avezzano,2024-10-13,133.3333
MII172222,Barcellona Pozzo di Gotto,2024-10-13,75.3676
MII181678,Bari,2024-10-13,170.2811
MII158901,Belluno,2024-10-13,131.7073
MII160204,Benevento,2024-10-13,161.1111
MII172827,Bergamo,2024-10-13,179.5597
MII172332,Biella,2024-10-13,113.0769
MII172344,Bollate,2024-10-13,113.0332
MII172508,Bologna,2024-10-13,167.8279
MII172580,Bolzano,2024-10-13,122.3529
MII172592,Brescia Canton Monbello,2024-10-13,207.6923
MII172610,Brescia Verziano,2024-10-13,163.3803
MII172623,Brindisi,2024-10-13,173.5043
MII172814,Brissogne - Aosta,2024-10-13,79.4286
MII172320,Busto Arsizio,2024-10-13,195.1327
MII172835,Cagliari Uta,2024-10-13,132.2638
MII173006,Caltagirone,2024-10-13,110.8753
MII173063,Caltanissetta,2024-10-13,120.2186
MII173088,Campobasso,2024-10-13,177.0833
