id,nome,indirizzo,tipo,posti_regolamentari,posti_non_disponibili,posti_reali,tasso_affollamento,posti_occupati,posti_aggiornati_al,personale_polizia_previsti,personale_polizia_effettivi,personale_polizia_aggiornato_a,personale_amministrativi_previsti,personale_amministrativi_effettivi,personale_amministrativo_aggiornato_al,latitudine,longitude
MII173006,Caltagirone,Contrada Noce San Nicola le Canne s.n.c. n. 00 -  95041 Caltagirone,Casa circondariale,541,164,377,1.1,416,2024-10-05,197,167,2024-07-31,23,23,2024-07-31,37.2372009,14.5132023
MII173063,Caltanissetta,Via Messina n. 94 - 93100 Caltanissetta,Casa circondariale,183,0,183,1.2,219,2024-10-05,120,142,2024-07-31,20,19,2024-07-31,37.49438296522256,14.05615604195194
MII173088,Campobasso,Via Cavour n. 52 - 86100 Campobasso,Casa circondariale,106,10,96,1.77,170,2024-10-05,105,91,2024-07-31,14,8,2024-07-31,41.555686,14.66172195
MII173101,Carinola,Via provinciale San Biagio n.6 - 81030 CARINOLA,Casa di reclusione - Gian Battista Novelli,552,56,496,1.02,508,2024-10-05,179,163,2024-07-31,28,26,2024-07-31,41.186987,13.9812129
MII173114,Cassino,Via Sferracavalli n 3 - 03043 Cassino,Casa circondariale,200,73,127,1.69,215,2024-10-05,142,105,2024-07-31,18,19,2024-07-31,41.4925576,13.8305297
MII173237,Castelfranco Emilia,Via Forte Urbano n.1 - 41013 Castelfranco Emilia,Casa di reclusione,191,42,149,0.7,105,2024-10-05,62,65,2024-07-31,16,14,2024-07-31,44.5950245,11.0529006
MII173259,Castelvetrano,Contrada Strasatto n. snc - 91022 Castelvetrano,Casa circondariale,44,0,44,1.61,71,2024-10-05,50,53,2024-07-31,12,10,2024-07-31,37.6828513,12.7955336
MII173265,Castrovillari,Via Sergio Cosmai n 1 - 87012 Castrovillari,Casa circondariale - Rosa Sisca,122,4,118,1.51,178,2024-10-05,113,111,2024-07-31,15,12,2024-07-31,39.83602485,16.2210616
MII173285,Catania Bicocca,Tangenziale Ovest km 8 n. s.n.c. - 95030 Catania,Casa circondariale,136,1,135,1.32,178,2024-10-05,160,189,2024-07-31,19,20,2024-07-31,37.50570535,14.94420233
MII173301,Catania Piazza Lanza,Piazza Vincenzo Lanza n.11 - 95100 Catania,Casa circondariale,279,0,279,1.48,414,2024-10-05,268,231,2024-07-31,25,23,2024-07-31,37.50570535,14.94420233
MII173311,Catanzaro,Via Tre Fontane n.28 - 88100 Catanzaro,Casa circondariale - Ugo Caridi,682,62,620,1.05,650,2024-10-05,415,397,2024-07-31,37,30,2024-07-31,38.9076353,16.5960465
MII173324,Crotone,Localit&agrave; Passovecchio n.1 - 88900 Crotone,Casa circondariale,99,4,95,1.31,124,2024-10-05,75,69,2024-07-31,18,11,2024-07-31,39.0806223,17.127196
MII173341,Cosenza,Viale Giacomo Mancini n.320 - 87100 Cosenza,Casa circondariale - Sergio Cosmai,220,9,211,1.28,270,2024-10-05,154,130,2024-07-31,20,20,2024-07-31,39.3099931,16.2501929
MII173356,Chiavari,Via al Gasometro n.2 - 16043 Chiavari,Casa di reclusione,52,0,52,1.13,59,2024-10-05,48,48,2024-07-31,13,10,2024-07-31,44.3164494,9.3233382
MII173364,Chieti,Via Ettore Ianni n.30 - 66100 Chieti,Casa circondariale,79,0,79,1.73,137,2024-10-05,80,83,2024-07-31,15,15,2024-07-31,42.3446529,14.1659738
MII173688,Civitavecchia Giuseppe Passerini,Via Tarquinia n. 20 - 00053 Civitavecchia,Casa di reclusione,144,52,92,0.83,76,2024-10-05,53,41,2024-07-31,0,8,2024-07-31,42.0989856,11.78675481
MII173712,Como,Via Bassone n.11 - 22100 Como,Casa circondariale,226,1,225,1.89,426,2024-10-05,216,208,2024-07-31,23,18,2024-07-31,45.9394759,9.14941015
MII173747,Cremona,Via Palosca n.2 - 26100 Cremona,Casa circondariale,394,10,384,1.53,586,2024-10-05,202,188,2024-07-31,23,15,2024-07-31,45.1334796,10.0248716
MII173764,Cuneo,Via Roncata n.75 - 12100 Cuneo,Casa circondariale,433,54,379,1.06,400,2024-10-05,206,191,2024-07-31,21,14,2024-07-31,44.64319015,7.43645384
MII173784,Eboli,Via Castello n.10 - 84025 Eboli,Casa di reclusione,54,0,54,0.81,44,2024-10-05,24,26,2024-07-31,14,10,2024-07-31,40.6175146,15.0569438
MII173813,Enna,Via Palermo n.20 - 94100 Enna,Casa circondariale - Luigi Bodenza,167,5,162,1.25,202,2024-10-05,97,100,2024-07-31,18,16,2024-07-31,37.5667573,14.2807473
MII173994,Favignana,Via Aurelio Padovani n.1 - 91023 Favignana,Casa di reclusione - Giuseppe Barraco,89,0,89,1.03,92,2024-10-05,79,60,2024-07-31,14,11,2024-07-31,37.9314505,12.3273647
MII174501,Fermo,Viale XX Giugno n.1/3 - 63900 Fermo,Casa di reclusione,43,0,43,1.3,56,2024-10-05,50,47,2024-07-31,15,11,2024-07-31,43.0922489,13.63876807
MII174686,Ferrara,Via Arginone n.327 - 44122 Ferrara,Casa circondariale - Costantino Satta,244,0,244,1.57,382,2024-10-05,194,181,2024-07-31,19,17,2024-07-31,44.8423466,11.5822881
MII174720,Firenze Sollicciano,Via Girolamo Minervini n 2/R  - 50142 Firenze,Casa circondariale,497,131,366,1.42,519,2024-10-05,416,457,2024-07-31,34,27,2024-07-31,43.76945125,11.17403045
MII174825,Firenze Mario Gozzini,Via Girolamo Minervini n.5 - 50142 Firenze,Casa circondariale,92,14,78,1.35,105,2024-10-05,50,44,2024-07-31,16,15,2024-07-31,43.7698712,11.2555757
MII176375,Foggia,Via delle Casermette n.22 - 71100 Foggia,Casa circondariale,364,19,345,2.06,710,2024-10-05,244,237,2024-07-31,29,31,2024-07-31,41.50281055,15.45289961
MII176403,Forlì,Via della Rocca n.4/6 - 47121 Forl&igrave;,Casa circondariale,144,11,133,1.14,151,2024-10-05,120,102,2024-07-31,18,14,2024-07-31,44.2226017,12.0409384
MII176414,Fossano,Via S.Giovanni Bosco n.48 - 12045 Fossano,Casa di reclusione,136,0,136,0.79,108,2024-10-05,72,64,2024-07-31,16,9,2024-07-31,44.5493489,7.7250155
MII176424,Fossombrone,Viale Leopardi n.2 - 61034 Fossombrone,Casa di reclusione,182,81,101,0.87,88,2024-10-05,129,97,2024-07-31,19,16,2024-07-31,43.68773585,12.8229332
MII176437,Frosinone,Via Cerreto n.55 - 03100  Frosinone,Casa circondariale - Giuseppe Pagliei,513,29,484,1.26,611,2024-10-05,280,253,2024-07-31,30,25,2024-07-31,41.6419807,13.3469287
MII176451,Gela,C.da Balate SS 117 bis n. snc - 93012 Gela,Casa circondariale,48,0,48,1.44,69,2024-10-05,46,53,2024-07-31,11,9,2024-07-31,37.0664363,14.2502445
MII176703,Genova Pontedecimo,Via Coni Zugna n.32 - 16100 Genova,Casa circondariale,96,0,96,1.51,145,2024-10-05,143,138,2024-07-31,16,13,2024-07-31,44.49411925,8.90540935
MII176714,Giarre,Via Foscolo n.67 - 95017 Giarre,Casa circondariale,58,0,58,1.28,74,2024-10-05,40,38,2024-07-31,12,12,2024-07-31,37.726857,15.187688
MII176719,Gorizia,Via G. Barzellini n 8 - 34170 Gorizia,Casa circondariale - Angiolo Bigazzi,53,0,53,1.47,78,2024-10-05,54,50,2024-07-31,12,5,2024-07-31,45.9441278,13.6252288
MII176743,Grosseto,Via A Saffi n.23 - 58100 Grosseto,Casa circondariale,15,0,15,2.0,30,2024-10-05,30,29,2024-07-31,12,10,2024-07-31,42.7597261,11.1137389
MII176749,Imperia,Via Giacomo Agnesi n. 2 18100 Imperia,Casa circondariale,53,1,52,1.35,70,2024-10-05,58,49,2024-07-31,13,13,2024-07-31,43.8862958,8.0267106
MII176759,Isernia,Via Ponte San Leonardo n.5 - 86170  Isernia,Casa circondariale,50,0,50,1.26,63,2024-10-05,36,43,2024-07-31,10,12,2024-07-31,41.600216,14.238217
MII176771,Isili,Localit&agrave; Sarcidano n.SN - 08033 Isili,Casa di reclusione,130,23,107,0.72,77,2024-10-05,72,62,2024-07-31,20,14,2024-07-31,39.7404048,9.1085903
MII176781,Ivrea,Corso Vercelli n.165 - 10015 Ivrea,Casa circondariale,195,7,188,1.34,251,2024-10-05,176,180,2024-07-31,20,12,2024-07-31,45.4673791,7.874797
MII176788,La Spezia,Piazza Falcone e Borsellino n.1 - 19125 La Spezia,Casa circondariale,151,48,103,1.18,122,2024-10-05,133,113,2024-07-31,17,12,2024-07-31,44.107033,9.8282255
MII177107,Lanciano,C/da Villa Stanazzo n.212/A - 66034 Lanciano,Casa circondariale,223,0,223,1.11,247,2024-10-05,151,118,2024-07-31,18,16,2024-07-31,42.2305316,14.3907794
MII177118,Lanusei,Viale Europa n.10 - 08045 Lanusei,Casa circondariale - San Daniele,33,0,33,0.82,27,2024-10-05,31,36,2024-07-31,9,5,2024-07-31,39.8785705,9.5410772
MII177134,L'Aquila,Via Amiternina Localit&agrave; Costarelle di Preturo n.3 - 67100 L'Aquila,Casa circondariale,228,6,222,0.77,170,2024-10-05,157,141,2024-07-31,20,21,2024-07-31,42.3489203,13.3979672
MII177323,Larino,Contrada Monte Arcano n.2 - 86035 Larino,Casa circondariale,119,0,119,1.03,122,2024-10-05,127,104,2024-07-31,16,13,2024-07-31,41.8055672,14.9210984
MII177332,Latina,Via Aspromonte n.100 - 04100 Latina,Casa circondariale,77,0,77,1.66,128,2024-10-05,125,118,2024-07-31,17,16,2024-07-31,41.46083555,12.89935226
MII177346,Laureana di Borrello,Viale Paolo Quattrone n.7 - 89023 Laureana di Borrello,Casa di reclusione - Luigi Daga,37,0,37,1.49,55,2024-10-05,37,30,2024-07-31,13,9,2024-07-31,38.492577,16.082098
MII177384,Lauro,Strada Provinciale Bosagro n. snc - 83023 Lauro,Istituto custodia attenuata per madri,50,0,50,0.14,7,2024-10-05,0,0,,0,5,2024-07-31,40.8799681,14.629467
MII177420,Lecce,Via Paolo Perrone n.4 - 73100 Lecce,Casa circondariale - Nuovo Complesso,798,57,741,1.62,1197,2024-10-05,572,595,2024-07-31,44,48,2024-07-31,40.3767969,18.156339
MII177436,Lecco,Via Cesare Beccaria n.9 - 23900 Lecco,Casa circondariale,53,0,53,1.6,85,2024-10-05,38,39,2024-07-31,14,6,2024-07-31,45.8553764,9.389605
MII177463,Livorno,Via delle Macchie n.9 - 57124 Livorno,Casa circondariale,391,211,180,1.37,247,2024-10-05,268,249,2024-07-31,35,23,2024-07-31,43.5507411,10.3091456
MII177498,Livorno Gorgona,Gorgona Via Torre Nuova n.1 -. 57030 Livorno,Casa di reclusione,89,0,89,0.96,85,2024-10-05,0,0,,0,5,2024-07-31,43.42959665,9.89870751
MII177996,Locri,Via Vittorio Veneto n.71 - 89044 Locri,Casa circondariale,86,0,86,1.42,122,2024-10-05,73,70,2024-07-31,15,12,2024-07-31,38.2385368,16.2655092
MII178003,Onanì,Via Centrale n.3 - 08020 Onan&igrave; (Nuoro),Casa di reclusione - Onanì-Mamone,292,122,170,0.73,124,2024-10-05,119,96,2024-07-31,24,16,2024-07-31,40.5725948,9.4205999
MII178027,Lodi,Via Cagnola n.2 - 26900 Lodi,Casa circondariale,45,1,44,1.98,87,2024-10-05,44,44,2024-07-31,13,11,2024-07-31,45.3138959,9.503263
MII178035,Lucca,Via San Giorgio n.108 - 55100 Lucca,Casa circondariale,63,22,41,1.8,74,2024-10-05,91,72,2024-07-31,14,11,2024-07-31,43.84570065,10.49998221
MII178045,Lucera,Piazza Tribunali n.16 - 71036 Lucera,Casa circondariale,135,0,135,1.15,155,2024-10-05,91,74,2024-07-31,17,16,2024-07-31,41.51140835,15.33357537
MII178072,Mantova,Via C. Poma n.3 - 46100 Mantova,Casa circondariale,97,0,97,1.54,149,2024-10-05,72,68,2024-07-31,18,11,2024-07-31,45.1566683,10.7917191
MII178085,Massa,Via Pietro Pellegrini n.17 - 54100 Massa,Casa di reclusione,174,6,168,1.4,235,2024-10-05,130,117,2024-07-31,24,15,2024-07-31,44.0231028,10.1371655
MII178115,Massa Marittima,Viale Martiri della Niccioleta n.148 - 58024 Massa Marittima,Casa circondariale,48,0,48,0.98,47,2024-10-05,36,28,2024-07-31,14,8,2024-07-31,43.0438048,10.9023227
MII178124,Matera,Via Cererie n.24 - 75100 Matera,Casa circondariale,132,6,126,1.48,186,2024-10-05,125,90,2024-07-31,15,15,2024-07-31,40.676213,16.60599858
MII178141,Melfi,Via Lecce n. snc - 85025 Melfi,Casa circondariale,126,0,126,1.44,182,2024-10-05,151,122,2024-07-31,16,8,2024-07-31,40.9961962,15.6556359
MII178148,Messina,Via Consolare Valeria n.2 - 98124 Messina,Casa circondariale,302,82,220,0.96,211,2024-10-05,185,223,2024-07-31,22,22,2024-07-31,38.048433,15.00434682
MII178501,Milano San Vittore femminile,Piazza Filangieri n.2 - 20123 Milano,Casa circondariale - Francesco Di Cataldo,46,2,44,1.82,80,2024-10-05,0,0,,0,0,,45.4615979,9.16639949
MII178638,Modena,Strada Sant'Anna n.370 - 41122 Modena,Casa circondariale,372,3,369,1.54,569,2024-10-05,222,246,2024-07-31,27,23,2024-07-31,44.67086,10.9190707
MII178659,Monza,Via Sanquirico n.6 - 20900 Monza,Casa circondariale,411,2,409,1.78,729,2024-10-05,296,283,2024-07-31,29,19,2024-07-31,45.5604241,9.28125258
MII178666,Napoli Poggioreale,Via Nuova Poggioreale n.167 - 80143 Napoli,Casa circondariale - Giuseppe Salvia,1624,266,1358,1.55,2107,2024-10-05,828,676,2024-07-31,63,69,2024-07-31,40.8599808,14.27937499
