id istituto,nome istituto,tasso di affollamento,indirizzo,tipo istituto,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,dati aggiornati al,polizia penitenziaria - previsti,polizia penitenziaria - effettivi,personale polizia penitenziaria aggiornato al,amministrativi - effettivi,amministrativi - previsti,personale amministrativo aggiornato al,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,data di aggiornamento spazi detentivi,latitudine,longitude,scheda istituto,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers
MII172222,Barcellona Pozzo di Gotto,73.0,Via V. Madia n.31 - 98051 Barcellona Pozzo di Gotto,Casa circondariale - Vittorio Madia,387,104,283,207,2025-03-08,169,149,2025-12-31,27,26,2025-12-31,128.0,44.0,84.0,72.0,5.0,98.0,78.0,128.0,2025-03-08,38.15123,15.2278876,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172222"">Vai alla scheda istituto</a>",84.0,2.46,0.72,2.46,2.88,2.11,2.65,1.62
MII172277,Altamura,171.0,Via dell'Uva Spina n.18 - 70022 Altamura,Casa di reclusione,52,4,48,82,2025-03-08,0,40,2025-12-31,6,0,2025-12-31,51.0,4.0,1.0,51.0,0.0,51.0,0.0,51.0,2025-03-08,40.8283631,16.5523505,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172277"">Vai alla scheda istituto</a>",47.0,1.74,0.49,82.0,1.61,1.61,,1.61
MII172320,Busto Arsizio,187.0,Via per Cassano Magnago n.102 - 21052 Busto Arsizio,Casa circondariale,240,14,226,422,2025-03-08,190,180,2025-12-31,14,21,2025-12-31,177.0,13.0,154.0,170.0,0.0,177.0,177.0,176.0,2025-03-08,45.6119057,8.8520522,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172320"">Vai alla scheda istituto</a>",164.0,2.57,0.43,2.74,2.48,2.38,2.38,2.4
MII172332,Biella,127.0,Viale dei Tigli n.14 - 13900 Biella,Casa circondariale,392,1,391,496,2025-03-08,210,175,2025-12-31,0,0,,257.0,1.0,69.0,194.0,4.0,257.0,257.0,69.0,2025-03-08,45.5664109,8.0542758,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172332"">Vai alla scheda istituto</a>",256.0,1.94,0.35,7.19,2.56,1.93,1.93,7.19
MII172344,Bollate,108.0,Via Cristina Belgioioso n.120 20157 - Milano,Casa di reclusione - IIª casa,1267,1,1266,1369,2025-03-08,502,414,2025-12-31,41,55,2025-12-31,707.0,1.0,185.0,707.0,8.0,707.0,707.0,705.0,2025-03-08,45.543835,9.1177075,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172344"">Vai alla scheda istituto</a>",706.0,1.94,0.3,7.4,1.94,1.94,1.94,1.94
MII172508,Bologna,158.0,Via del Gomito n. 2 - 40127 Bologna,Casa circondariale - Rocco D'Amato,507,21,486,769,2025-03-08,462,419,2025-12-31,27,35,2025-12-31,447.0,7.0,132.0,59.0,2.0,447.0,90.0,16.0,2025-03-08,44.4936714,11.3430347,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172508"">Vai alla scheda istituto</a>",440.0,1.75,0.54,5.83,13.03,1.72,8.54,48.06
MII172580,Bolzano,142.0,Via Dante n. 28/a -  39100 Bolzano,Casa circondariale,88,0,88,125,2025-03-08,77,62,2025-12-31,5,20,2025-12-31,31.0,0.0,1.0,0.0,0.0,19.0,5.0,30.0,2025-03-08,46.49177448,11.34681702,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172580"">Vai alla scheda istituto</a>",31.0,4.03,0.5,125.0,,6.58,25.0,4.17
MII172592,Brescia Canton Monbello,202.0,Via Spalto San Marco n 20 - 25121 Brescia,Casa circondariale - Nerio Fischione,182,0,182,367,2025-03-08,197,181,2025-12-31,20,30,2025-12-31,100.0,0.0,91.0,0.0,0.0,100.0,100.0,0.0,2025-03-08,45.5325399,10.2340676,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172592"">Vai alla scheda istituto</a>",100.0,3.67,0.49,4.03,,3.67,3.67,
MII172610,Brescia Verziano,159.0,Via Flero n.157 - 25124 Brescia,Casa di reclusione,71,1,70,111,2025-03-08,95,77,2025-12-31,1,0,2025-12-31,71.0,1.0,71.0,0.0,0.0,71.0,10.0,71.0,2025-03-08,45.4996058,10.18776766,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172610"">Vai alla scheda istituto</a>",70.0,1.59,0.69,1.56,,1.56,11.1,1.56
MII172623,Brindisi,171.0,Via Appia n.131 - 72100 Brindisi,Casa circondariale,152,33,119,203,2025-03-08,141,125,2025-12-31,21,18,2025-12-31,72.0,11.0,62.0,26.0,2.0,72.0,72.0,72.0,2025-03-08,40.6395295,17.945526,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172623"">Vai alla scheda istituto</a>",61.0,3.33,0.62,3.27,7.81,2.82,2.82,2.82
