id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,posti_reali,tasso_occupazione
MII173994,Favignana,Casa di reclusione - Giuseppe Barraco,89,6,105,2024-08-03,83,1.27
MII176451,Gela,Casa circondariale,48,0,70,2024-08-03,48,1.46
MII176714,Giarre,Casa circondariale,58,1,75,2024-08-03,57,1.32
MII178681,Noto,Casa di reclusione - Attilio Bonincontro,176,0,147,2024-08-03,176,0.84
MII179324,Palermo Ucciardone,Casa di reclusione - Calogero Di Bona,569,80,506,2024-08-03,489,1.03
MII179306,Palermo Pagliarelli,Casa circondariale - Antonio Lorusso,1164,9,1343,2024-08-03,1155,1.16
MII179856,Piazza Armerina,Casa circondariale,49,1,68,2024-08-03,48,1.42
MII180451,San Cataldo,Casa di reclusione,135,1,87,2024-08-03,134,0.65
MII181401,Termini Imerese,Casa circondariale - Antonino Burrafato,97,3,99,2024-08-03,94,1.05
MII181625,Trapani,Casa circondariale - Pietro Cerulli,555,58,517,2024-08-03,497,1.04
MII172332,Biella,Casa circondariale,394,1,377,2024-08-03,393,0.96
MII179876,Volterra,Casa di reclusione,189,0,181,2024-08-03,189,0.96
MII172208,Civitavecchia Nuovo Complesso,Casa circondariale,357,46,526,2024-08-03,311,1.69
MII177384,Lauro,Istituto custodia attenuata per madri,50,0,5,2024-08-03,50,0.1
MII181417,Tolmezzo,Casa circondariale,149,0,151,2024-08-03,149,1.01
MII173063,Caltanissetta,Casa circondariale,180,0,229,2024-08-03,180,1.27
MII158901,Belluno,Casa circondariale,90,7,102,2024-08-03,83,1.23
MII173341,Cosenza,Casa circondariale - Sergio Cosmai,220,1,281,2024-08-03,219,1.28
MII173265,Castrovillari,Casa circondariale - Rosa Sisca,122,3,160,2024-08-03,119,1.34
MII178700,Novara,Casa circondariale,156,1,167,2024-08-03,155,1.08
MII172344,Bollate,Casa di reclusione - IIª casa,1267,1,1451,2024-08-03,1266,1.15
MII181691,Vallo della Lucania,Casa circondariale - Alfredo Paragano,40,0,54,2024-08-03,40,1.35
