name_toclean,name_match,count
san cataldo  casa di reclusione,san cataldo casa di reclusione,5
caltagirone  casa circondariale,caltagirone casa circondariale,3
"catania ""bicocca"" casa circondariale",catania bicocca casa circondariale,4
"catania ""piazza lanza"" casa circondariale",catania piazza lanza casa circondariale,5
giarre  casa circondariale,giarre casa circondariale,3
"enna ""l. bodenza"" casa circondariale",enna casa circondariale,3
piazza armerina  casa circondariale,piazza armerina casa circondariale,4
barcellona pozzo di gotto  casa circondariale,barcellona pozzo di gotto casa circondariale,6
messina  casa circondariale,messina casa circondariale,3
"palermo ""a. lorusso"" pagliarelli casa circondariale",palermo pagliarelli casa circondariale,4
"palermo ""c. di bona"" ucciardone casa di reclusione",palermo ucciardone casa di reclusione,5
"termini imerese ""a. burrafato"" casa circondariale",termini imerese casa circondariale,4
ragusa  casa circondariale,ragusa casa circondariale,3
augusta  casa di reclusione,augusta casa di reclusione,4
"noto ""a. bonincontro"" casa di reclusione",noto casa di reclusione,4
siracusa  casa circondariale,siracusa casa circondariale,3
castelvetrano  casa circondariale,castelvetrano casa circondariale,3
"favignana ""g. barraco"" casa di reclusione",favignana casa di reclusione,4
"trapani ""p. cerulli"" casa circondariale",trapani casa circondariale,3
arezzo  casa circondariale,arezzo casa circondariale,3
"firenze ""mario gozzini"" casa circondariale",firenze mario gozzini casa circondariale,5
"firenze ""sollicciano"" casa circondariale",firenze sollicciano casa circondariale,4
grosseto  casa circondariale,grosseto casa circondariale,3
massa marittima  casa circondariale,massa marittima casa circondariale,4
livorno  casa circondariale,livorno casa circondariale,3
"livorno ""gorgona"" casa di reclusione",livorno gorgona casa di reclusione,5
"porto azzurro ""p. de santis"" casa di reclusione",porto azzurro casa di reclusione,5
lucca  casa circondariale,lucca casa circondariale,3
massa  casa di reclusione,massa casa di reclusione,4
pisa  casa circondariale,pisa casa circondariale,3
volterra  casa di reclusione,volterra casa di reclusione,4
prato  casa circondariale,prato casa circondariale,3
pistoia  casa circondariale,pistoia casa circondariale,3
san gimignano  casa di reclusione,san gimignano casa di reclusione,5
siena  casa circondariale,siena casa circondariale,3
bolzano  casa circondariale,bolzano casa circondariale,3
"trento ""spini di gardolo"" casa circondariale",trento casa circondariale,3
"perugia ""nuovo complesso penitenziario capanne"" casa circondariale",roma rebibbia nuovo complesso casa circondariale,4
spoleto  casa di reclusione,spoleto casa di reclusione,4
orvieto  casa di reclusione,orvieto casa di reclusione,4
terni  casa circondariale,terni casa circondariale,3
"brissogne ""aosta"" casa circondariale",brissogne  aosta casa circondariale,4
belluno  casa circondariale,belluno casa circondariale,3
padova  casa circondariale,padova casa circondariale,3
"padova ""n.c."" casa di reclusione",padova nuovo complesso casa di reclusione,4
rovigo  casa circondariale,rovigo casa circondariale,3
treviso  casa circondariale,treviso casa circondariale,3
"venezia ""giudecca"" casa di reclusione femminile",venezia giudecca casa di reclusione femminile,6
"venezia ""santa maria maggiore"" casa circondariale",venezia santa maria maggiore casa circondariale,6
vicenza  casa circondariale,vicenza casa circondariale,3
"verona ""montorio"" casa circondariale",verona casa circondariale,3
avezzano casa circondariale,avezzano casa circondariale,3
l'aquila casa circondariale,l'aquila casa circondariale,3
sulmona casa di reclusione,sulmona casa di reclusione,4
chieti casa circondariale,chieti casa circondariale,3
lanciano casa circondariale,lanciano casa circondariale,3
vasto casa di lavoro,vasto casa di lavoro,4
pescara casa circondariale,pescara casa circondariale,3
teramo casa circondariale,teramo casa circondariale,3
matera casa circondariale,matera casa circondariale,3
melfi casa circondariale,melfi casa circondariale,3
paola casa circondariale,paola casa circondariale,3
crotone casa circondariale,crotone casa circondariale,3
locri casa circondariale,locri casa circondariale,3
